Mouse;Diet;Age;Illumina;Illumina2;Barcode;File;;
SGRO-1272;DR lifelong;5;I7;S7;S6;I7_S7_001_PRIMER-S6_R1;;
SGRO-7955;AL lifelong;5;I7;S7;S7;I7_S7_001_PRIMER-S7_R1;;
SGRO-1284;AL lifelong;20;I7;S7;S8;I7_S7_001_PRIMER-S8_R1;;
SGRO-1017;DR lifelong;20;I7;S7;S9;I7_S7_001_PRIMER-S9_R1;;
SGRO-1262;AL lifelong;16;I7;S7;S10;I7_S7_001_PRIMER-S10_R1;;
SGRO-1183;AL_DR16M;24;I8;S8;S1;I8_S8_001_PRIMER-S1_R1;;
SGRO-0925;AL_DR16M;20;I8;S8;S2;I8_S8_001_PRIMER-S2_R1;;
SGRO-1297;AL_DR20M;24;I8;S8;S3;I8_S8_001_PRIMER-S3_R1;;
SGRO-0984;DR lifelong;5;I8;S8;S4;I8_S8_001_PRIMER-S4_R1;;
SGRO-1289;AL lifelong;20;I8;S8;S5;I8_S8_001_PRIMER-S5_R1;;
SGRO-1022;AL lifelong;5;I8;S8;S6;I8_S8_001_PRIMER-S6_R1;;
SGRO-1230;AL lifelong;16;I8;S8;S7;I8_S8_001_PRIMER-S7_R1;;
SGRO-0975;DR lifelong;20;I8;S8;S8;I8_S8_001_PRIMER-S8_R1;;
SGRO-1115;AL lifelong;24;I8;S8;S9;I8_S8_001_PRIMER-S9_R1;;
SGRO-1095;DR lifelong;24;I8;S8;S10;I8_S8_001_PRIMER-S10_R1;;
SGRO-1281;AL lifelong;20;I9;S9;S1;I9_S9_001_PRIMER-S1_R1;;
SGRO-1059;DR lifelong;24;I9;S9;S2;I9_S9_001_PRIMER-S2_R1;;
SGRO-0994;AL lifelong;16;I9;S9;S3;I9_S9_001_PRIMER-S3_R1;;
SGRO-0920;AL_DR16M;20;I9;S9;S4;I9_S9_001_PRIMER-S4_R1;;
SGRO-1211;AL lifelong;24;I9;S9;S5;I9_S9_001_PRIMER-S5_R1;;
SGRO-1133;AL_DR20M;24;I9;S9;S6;I9_S9_001_PRIMER-S6_R1;;
SGRO-1026;AL_DR16M;24;I9;S9;S7;I9_S9_001_PRIMER-S7_R1;;
SGRO-1248;DR lifelong;5;I9;S9;S8;I9_S9_001_PRIMER-S8_R1;;
SGRO-1214;AL lifelong;5;I9;S9;S9;I9_S9_001_PRIMER-S9_R1;;
SGRO-1135;DR lifelong;20;I9;S9;S10;I9_S9_001_PRIMER-S10_R1;;
SGRO-0961;AL lifelong;5;I10;S10;S1;I10_S10_001_PRIMER-S1_R1;;
SGRO-1015;AL lifelong;20;I10;S10;S2;I10_S10_001_PRIMER-S2_R1;;
SGRO-0962;DR lifelong;20;I10;S10;S3;I10_S10_001_PRIMER-S3_R1;;
SGRO-1008;AL_DR16M;24;I10;S10;S4;I10_S10_001_PRIMER-S4_R1;;
SGRO-1144;AL_DR16M;20;I10;S10;S5;I10_S10_001_PRIMER-S5_R1;;
SGRO-1020;AL lifelong;24;I10;S10;S6;I10_S10_001_PRIMER-S6_R1;;
SGRO-1179;AL_DR20M;24;I10;S10;S7;I10_S10_001_PRIMER-S7_R1;;
SGRO-1206;AL lifelong;16;I10;S10;S8;I10_S10_001_PRIMER-S8_R1;;
SGRO-1209;DR lifelong;24;I10;S10;S9;I10_S10_001_PRIMER-S9_R1;;
SGRO-1116;DR lifelong;5;I10;S10;S10;I10_S10_001_PRIMER-S10_R1;;
